"Fofunkcio";"Funkcio";"Fejezet";"Cím";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Működési kiadás";"Működési bevétel";"Felhalmozási kiadás";"Felhalmozási bevétel";"Kiadas";"Bevetel";"AHTT";"Oszlop"
"F01";"F01a";"FJ01";"0";"0";"0";"0";"0";"0";"I. ORSZÁGGYŰLÉS";;;;;"0";"0";"88";"0"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"0";"0";"Országgyűlés hivatali szervei";"";"900";"";;"0";"900";"110";"2"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"0";"Működési költségvetés";"";"";"";;"0";"0";"110";"3"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"1";"Személyi juttatások";"11221,7";"";"";;"11221.7";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"2";"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";"2088,7";"";"";;"2088.7";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"3";"Dologi kiadások";"4488,3";"";"";;"4488.3";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"4";"Ellátottak pénzbeli juttatásai";"79,9";"";"";;"79.9";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"1";"5";"Egyéb működési célú kiadások";"40";"";"";;"40";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"2";"0";"Felhalmozási költségvetés";"";"";"";;"0";"0";"110";"3"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"2";"6";"Beruházások";"";"";"1518,7";;"1518.7";"0";"110";"4"
"F01";"F01a";"FJ01";"1";"1";"0";"0";"2";"7";"Felújítások";"";"";"905,7";;"905.7";"0";"110";"4"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"0";"0";"Állambiztonsági Szolgálatok Történeti Levéltára";"";"5";"";;"0";"5";"246345";"1"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"1";"0";"Működési költségvetés";"";"";"";;"0";"0";"246345";"2"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"1";"1";"Személyi juttatások";"469,7";"";"";;"469.7";"0";"246345";"3"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"1";"2";"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";"103,8";"";"";;"103.8";"0";"246345";"3"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"1";"3";"Dologi kiadások";"182,3";"";"";;"182.3";"0";"246345";"3"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"2";"0";"Felhalmozási költségvetés";"";"";"";;"0";"0";"246345";"2"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"2";"6";"Beruházások";"";"";"55";;"55";"0";"246345";"3"
"F01";"F01a";"FJ01";"2";"0";"0";"0";"2";"7";"Felújítások";"";"";"14,3";;"14.3";"0";"246345";"3"
"F03";"F03b";"FJ01";"3";"0";"0";"0";"0";"0";"Országgyűlési Őrség";"";"";"";;"0";"0";"334206";"1"
"F03";"F03b";"FJ01";"3";"0";"0";"0";"1";"0";"Működési költségvetés";"";"";"";;"0";"0";"334206";"2"
"F03";"F03b";"FJ01";"3";"0";"0";"0";"1";"1";"Személyi juttatások";"3238,7";"";"";;"3238.7";"0";"334206";"3"
"F03";"F03b";"FJ01";"3";"0";"0";"0";"1";"2";"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";"646,7";"";"";;"646.7";"0";"334206";"3"
"F08";"F08f";"FJ01";"4";"3";"0";"0";"0";"0";"Az Országgyűlés elnökének közcélú felajánlásai, adományai";"73";"";"";;"73";"0";"295891";"2"
"F08";"F08f";"FJ01";"4";"4";"2";"0";"0";"0";"Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása";"80";"";"";;"80";"0";"295913";"3"
"F01";"F01a";"FJ01";"4";"6";"0";"0";"0";"0";"Képviselő-testület váltásával kapcsolatos kiadások";"633";"";"867";;"1500";"0";"143";"2"
"F08";"F08f";"FJ01";"4";"8";"1";"0";"0";"0";"Schmitt Pál közcélú felajánlásai, adományai";"73";"";"";;"73";"0";"333573";"3"
"F08";"F08f";"FJ01";"4";"8";"2";"0";"0";"0";"Sólyom László közcélú felajánlásai, adományai";"73";"";"";;"73";"0";"298079";"3"
"F01";"F01a";"FJ01";"4";"14";"0";"0";"0";"0";"Steindl Imre program támogatása";"100";"";"5900";;"6000";"0";"367917";"2"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"0";"0";"Közbeszerzési Hatóság";"";"2109,9";"";;"0";"2109.9";"19161";"2"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"1";"0";"Működési költségvetés";"";"";"";;"0";"0";"19161";"3"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"1";"1";"Személyi juttatások";"918,6";"";"";;"918.6";"0";"19161";"4"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"1";"2";"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";"190,1";"";"";;"190.1";"0";"19161";"4"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"1";"3";"Dologi kiadások";"776";"";"";;"776";"0";"19161";"4"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"2";"0";"Felhalmozási költségvetés";"";"";"";;"0";"0";"19161";"3"
"F01";"F01a";"FJ01";"5";"1";"0";"0";"2";"6";"Beruházások";"";"";"316,2";;"316.2";"0";"19161";"4"
"F08";"F08e";"FJ01";"8";"1";"1";"0";"0";"0";"FIDESZ - Magyar Polgári Szövetség";"876,6";"";"";;"876.6";"0";"187";"3"
"F08";"F08e";"FJ01";"8";"1";"2";"0";"0";"0";"Magyar Szocialista Párt";"427";"";"";;"427";"0";"220";"3"
"F08";"F08e";"FJ01";"8";"1";"3";"0";"0";"0";"Jobbik Magyarországért Mozgalom - Párt";"475,8";"";"";;"475.8";"0";"294102";"3"
